"hurdle_sample_typepoor_not_brain...sample_typegood_not_brain.logFC","hurdle_sample_typepoor_not_brain...sample_typegood_not_brain.fisherPval","hurdle_sample_typepoor_not_brain...sample_typegood_not_brain.fisherAdjPval"
0.612108762293904,0.445689437922384,1
NA,0.22967648903549,1
-0.0649121327993961,0.629244940908544,1
NA,0.479424225633283,1
-0.220173622361148,0.675658765817403,1
0.248520236826123,0.663112224672679,1
0.261028731059496,0.649836321316651,1
NA,1,1
-1.51401329238532,0.020325252961971,0.638928781115411
0.0405792556059112,0.309660417750612,1
-0.317807203663719,0.772311828652785,1
-0.861674046110106,0.27651974567804,1
0.264125568637811,0.704035900120684,1
-0.963206220024498,0.114754924023098,1
NA,0.479424225633285,1
NA,0.680289423607319,1
NA,0.233830369330018,1
1.51130153501846,0.154969674665163,1
NA,0.479424225633284,1
NA,0.999999999999999,1
NA,0.479424225633284,1
0.108485734132915,0.886306815873279,1
-0.125157056872567,0.793662663124634,1
-0.469661809157761,0.607719575124623,1
0.556352917061179,0.125749868022386,1
0.48995802393553,0.769177761128944,1
