"Protein.Groups","sample_typepoor.logFC","sample_typepoor.adjPval"
"ANXA2_HUMAN",0.0632207833203261,0.979932071635675
"ANXA2_HUMAN;AXA2L_HUMAN",-0.108872311418717,0.953879291284912
"ANXA3_HUMAN",0.191610275007998,0.620042977036579
"ANXA4_HUMAN",0.325619946103322,0.644417887008616
"ANXA6_HUMAN",-0.0945052245088605,0.818130593162499
"ANXA7_HUMAN",-0.0611902919249424,0.892234750191367
"AOFA_HUMAN",-0.322438762576789,0.581471386339753
"AOFB_HUMAN",-0.846892024712684,0.229609561600372
"AP180_HUMAN",0.0346516394897582,0.982332323238592
"AP180_HUMAN;PICAL_HUMAN",-0.249365428182624,0.862461760374037
"AP1B1_HUMAN",0.234029059788659,0.521950828288602
"AP1B1_HUMAN;AP2B1_HUMAN",0.66860086968457,0.390732243857301
"AP1G1_HUMAN",0.0505322021360204,0.900552062963952
"AP1M1_HUMAN",0.076596999137218,0.820626049116046
"AP1M1_HUMAN;AP1M2_HUMAN",-0.249297282939791,0.702851250938114
"AP1S1_HUMAN",-0.160021033557782,0.662714395487131
"AP1S2_HUMAN",0.767052762302301,0.528792443713851
"AP2A1_HUMAN",-0.219668813675167,0.820626049116046
"AP2A1_HUMAN;AP2A2_HUMAN",-0.308502525059298,0.765969955018163
"AP2A2_HUMAN",-0.528048406056356,0.397749813377619
"AP2B1_HUMAN",-0.167507581753734,0.857946909454746
"AP2M1_HUMAN",-0.700162269992017,0.430565814352624
"AP2S1_HUMAN",-0.28499268251547,0.688116480248347
"AP3B1_HUMAN",0.789820208684978,0.10323951364805
"AP3B1_HUMAN;AP3B2_HUMAN",-0.212322406780974,0.696362370495294
"AP3B2_HUMAN",-0.0984609493581236,0.901602846101263
"AP3D1_HUMAN",-0.286702013892381,0.414637526138673
"AP3M1_HUMAN",0.648480232848493,0.384203886820198
"AP3M1_HUMAN;AP3M2_HUMAN",-0.153760665485133,0.746996157200563
"AP3M2_HUMAN",0.180466623006522,0.791396843684095
"AP3S1_HUMAN",0.74450474761907,0.134487883482987
"AP4A_HUMAN",-0.684961795628368,0.490860894187013
"APBA2_HUMAN",0.706635591296674,0.475800863697218
"APBB1_HUMAN",-0.0263261802666526,0.980002018194743
"APC1_HUMAN",NA,NA
"APC7_HUMAN",NA,NA
"APEX1_HUMAN",0.893402072281717,0.363911838489077
"API5_HUMAN",0.903847423791578,0.0443908320948775
"APLP1_HUMAN",0.175800988615118,0.749453658178291
"APLP2_HUMAN",-0.227624141830025,0.723828410983896
"APMAP_HUMAN",0.389039633351225,0.356741978143135
"APOA1_HUMAN",0.385316188773751,0.671589254884874
"APOA2_HUMAN",1.0202796335559,0.522188463956872
"APOA4_HUMAN",-0.102356271630054,0.948804288479597
"APOB_HUMAN",0.57078077147163,0.712498499448537
"APOB_HUMAN;CONTAMINANT_ENSBTAP00000032840",0.745062315161624,0.570131588875454
"APOC3_HUMAN",1.61929800772658,0.45736981458344
"APOD_HUMAN",-0.50157768822834,0.610286302369221
"APOE_HUMAN",-0.499344567949708,0.522595740418342
"APOE_HUMAN;sp|CONTAMINANT_Q03247",-0.639507020848619,0.63399721248006
"APOH_HUMAN",-0.0403793670826111,0.988830143319493
"APOL2_HUMAN",-0.930602334484928,0.187831682068941
"APOM_HUMAN",NA,NA
"APT_HUMAN",0.540396013913143,0.600658270229779
"AQP1_HUMAN",1.55274016660614,0.0803100588211233
"AQP4_HUMAN",0.28400993529663,0.677923719759538
"AQR_HUMAN",NA,NA
"AR6P1_HUMAN",-0.790659695371257,0.187458412078291
"AR6P4_HUMAN",NA,NA
"ARAP1_HUMAN",NA,NA
"ARBK1_HUMAN",0.714799513518252,0.32554210017338
"ARC1A_HUMAN",0.17416565406754,0.821527158566178
"ARC1B_HUMAN",1.4544479453515,0.0443908320948775
"ARCH_HUMAN",0.659200844532437,0.212952108151899
"ARF4_HUMAN",0.0124446161806086,0.994254245819363
"ARF4_HUMAN;ARF5_HUMAN",0.0359031650691496,0.968032660304001
"ARF5_HUMAN",0.27441663221532,0.451439748962943
"ARF6_HUMAN",0.424558092340202,0.149636143608536
"ARFG1_HUMAN",-0.267540836035522,0.492015678193003
"ARFG2_HUMAN",-0.0645149159802786,0.885547394210009
"ARFG3_HUMAN",NA,NA
"ARFP1_HUMAN",1.07286539999096,0.0316373755770228
"ARFP2_HUMAN",-0.0266121847663675,0.969960147096208
"ARHG1_HUMAN",NA,NA
"ARHG2_HUMAN",-0.052183971777529,0.933826456517181
"ARHG6_HUMAN",-0.652967779384714,0.313128876464864
"ARHG6_HUMAN;ARHG7_HUMAN",-0.216649625507115,0.52318715343455
"ARHG7_HUMAN",-0.0944339398534324,0.878079609321183
"ARHG9_HUMAN",-0.0208843615172014,0.987391139980292
"ARHGA_HUMAN",1.85270849208111,0.0900945945659159
"ARHGB_HUMAN",0.165663254343682,0.788508416449069
"ARHGC_HUMAN",-0.0295182539714848,0.947962160005293
"ARI1_HUMAN",0.500592312901709,0.1017488728493
"ARI1B_HUMAN",NA,NA
"ARI5B_HUMAN",0.0551457638224703,0.954422816055209
"ARK72_HUMAN",-0.493827729346201,0.257602963371581
"ARL1_HUMAN",0.494422992768736,0.415198245810987
"ARL15_HUMAN",-0.500317435289981,0.396591433391086
"ARL2_HUMAN",-0.00372846181331205,0.994831516706043
"ARL3_HUMAN",0.0445865336298999,0.961418760503496
"ARL8A_HUMAN",0.0541683549322112,0.881174610573481
"ARL8A_HUMAN;ARL8B_HUMAN",0.961616558581196,0.143614966772049
"ARL8B_HUMAN",0.171434494875967,0.762210159270932
"ARLY_HUMAN",0.659593708498208,0.100971381001906
"ARM10_HUMAN",-0.248017213148031,0.52318715343455
"ARMC1_HUMAN",-0.129234513480466,0.765969955018163
"ARMC8_HUMAN",-0.0683378473067266,0.897527011095063
"ARMD3_HUMAN",0.819824662985467,0.295300966684201
"ARMT1_HUMAN",NA,NA
"ARMX3_HUMAN",0.00722801349358812,0.986876255281091
"ARP10_HUMAN",0.0641011169555841,0.908051718611744
"ARP19_HUMAN",0.198521313707244,0.672023172951268
"ARP19_HUMAN;ENSA_HUMAN",NA,NA
